"name","class","animationClass","reproducible","infectSub","infectTotal","contagiousRateFactor","infectionProbabilityFactor"
"Accommodation","nl.tudelft.simulation.medlabs.location.House","nl.tudelft.simulation.medlabs.location.animation.HouseAnimation",true,true,true,1,1
"Workplace","nl.tudelft.simulation.medlabs.location.Workplace","nl.tudelft.simulation.medlabs.location.animation.WorkplaceAnimation",true,true,true,1,1
"Retail","eu.heros.location.Retail","eu.heros.location.animation.RetailAnimation",false,true,true,1,1
"Mall","eu.heros.location.Mall","eu.heros.location.animation.MallAnimation",false,true,true,1,1
"BarRestaurant","nl.tudelft.simulation.medlabs.location.Restaurant","nl.tudelft.simulation.medlabs.location.animation.RestaurantAnimation",false,true,true,1,1
"FoodBeverage","eu.heros.location.FoodBeverage","eu.heros.location.animation.FoodBeverageAnimation",false,true,true,1,1
"Supermarket","eu.heros.location.Supermarket","eu.heros.location.animation.SupermarketAnimation",false,true,true,1,1
"Kindergarten","nl.tudelft.simulation.medlabs.location.Kindergarten","nl.tudelft.simulation.medlabs.location.animation.KindergartenAnimation",true,true,true,1,1
"PrimarySchool","nl.tudelft.simulation.medlabs.location.ElementarySchool","nl.tudelft.simulation.medlabs.location.animation.SchoolAnimation",true,true,true,1,1
"SecondarySchool","nl.tudelft.simulation.medlabs.location.MiddleSchool","nl.tudelft.simulation.medlabs.location.animation.SchoolAnimation",true,true,true,1,1
"College","eu.heros.location.College","eu.heros.location.animation.CollegeAnimation",true,true,true,1,1
"University","nl.tudelft.simulation.medlabs.location.University","nl.tudelft.simulation.medlabs.location.animation.UniversityAnimation",true,true,true,1,1
"Religion","eu.heros.location.Religion","eu.heros.location.animation.ReligionAnimation",true,true,true,1,1
"Police","eu.heros.location.Police","eu.heros.location.animation.PoliceAnimation",true,true,true,1,1
"FireStation","eu.heros.location.FireStation","eu.heros.location.animation.FireStationAnimation",true,true,true,1,1
"Pharmacy","nl.tudelft.simulation.medlabs.location.MedService","nl.tudelft.simulation.medlabs.location.animation.MedServiceAnimation",false,true,true,1,1
"Healthcare","nl.tudelft.simulation.medlabs.location.CommunityMeds","nl.tudelft.simulation.medlabs.location.animation.CommunityMedsAnimation",false,true,true,1,1
"Hospital","nl.tudelft.simulation.medlabs.location.Hospital","nl.tudelft.simulation.medlabs.location.animation.HospitalAnimation",false,true,true,1,1
"Recreation","eu.heros.location.Recreation","eu.heros.location.animation.RecreationAnimation",false,true,true,1,1
"Park","eu.heros.location.Park","eu.heros.location.animation.ParkAnimation",false,false,false,1,1