name,animationClass,reproducible,infectSub,infectTotal,contagiousRateFactor,infectionProbabilityFactor
Accommodation,nl.tudelft.simulation.medlabs.location.animation.defaults.HouseAnimation,true,true,false,1,1
Workplace,nl.tudelft.simulation.medlabs.location.animation.defaults.WorkplaceAnimation,true,true,false,1,1
Retail,nl.tudelft.simulation.medlabs.location.animation.defaults.RetailAnimation,false,true,false,1,1
Mall,nl.tudelft.simulation.medlabs.location.animation.defaults.MallAnimation,false,true,false,1,1
BarRestaurant,nl.tudelft.simulation.medlabs.location.animation.defaults.RestaurantAnimation,false,true,false,1,1
FoodBeverage,nl.tudelft.simulation.medlabs.location.animation.defaults.FoodBeverageAnimation,false,true,false,1,1
Supermarket,nl.tudelft.simulation.medlabs.location.animation.defaults.SupermarketAnimation,false,true,false,1,1
Kindergarten,nl.tudelft.simulation.medlabs.location.animation.defaults.KindergartenAnimation,true,true,false,1,1
PrimarySchool,nl.tudelft.simulation.medlabs.location.animation.defaults.SchoolAnimation,true,true,false,1,1
SecondarySchool,nl.tudelft.simulation.medlabs.location.animation.defaults.SchoolAnimation,true,true,false,1,1
College,nl.tudelft.simulation.medlabs.location.animation.defaults.CollegeAnimation,true,true,false,1,1
University,nl.tudelft.simulation.medlabs.location.animation.defaults.UniversityAnimation,true,true,false,1,1
Religion,nl.tudelft.simulation.medlabs.location.animation.defaults.ReligionAnimation,true,true,false,1,1
Police,nl.tudelft.simulation.medlabs.location.animation.defaults.PoliceAnimation,true,true,false,1,1
FireStation,nl.tudelft.simulation.medlabs.location.animation.defaults.FireStationAnimation,true,true,false,1,1
Pharmacy,nl.tudelft.simulation.medlabs.location.animation.defaults.PharmacyAnimation,false,true,false,1,1
Healthcare,nl.tudelft.simulation.medlabs.location.animation.defaults.MedServiceAnimation,false,true,false,1,1
Hospital,nl.tudelft.simulation.medlabs.location.animation.defaults.HospitalAnimation,false,true,false,1,1
Recreation,nl.tudelft.simulation.medlabs.location.animation.defaults.RecreationAnimation,false,true,false,1,1
Park,nl.tudelft.simulation.medlabs.location.animation.defaults.ParkAnimation,false,false,false,1,1